वृद्धिरादैच्,वृद्धिःआदैच्
उञ्छादीनां च,उञ्छादीनाम्च
अनुदात्तस्य च यत्रोदात्तलोपः,अनुदात्तस्यचयत्रउदात्तलोपः
तिसृभ्यो जसः,तिसृभ्यःजसः
सावेकाचस्तृतीयाऽऽदिविभक्तिः,सौएकाचःतृतीयादिःविभक्तिः
अन्तोदत्तादुत्तरपदादन्यतरस्यामनित्यसमासे,अन्तोदत्तात्उत्तरपदात्अन्यतरस्याम्अनित्यसमासे
अञ्चेश्छन्दस्यसर्वनामस्थानम्,अञ्चेःछन्दसिअसर्वनामस्थानम्
अष्टनो दीर्घात्‌,अष्टनःदीर्घात्
शतुरनुमो नद्यजादी,शतुःअनुमःनद्यजादी
उदात्तयणो हल्पूर्वात्‌,उदात्तयणःहल्पूर्वात्
नोङ्धात्वोः,नःऊङ्धात्वोः
नामन्यतरस्याम्‌,नाम्अन्यतरस्याम्
ङ्याश्छन्दसि बहुलम्,ङ्याःछन्दसिबहुलम्
झल्युपोत्तमम्,झलिउपोत्तमम्
दिवो झल्,दिवःझल्
नृ चान्यतरस्याम्,नृचअन्यतरस्याम्
आदिः सिचोऽन्यतरस्याम्,आदिःसिचःअन्यतरस्याम्
स्वपादिर्हिंसामच्यनिटि,स्वपादिर्हिंसाम्अचिअनिटि
अभ्यस्तानामादिः,अभ्यस्तानाम्आदिः
भीह्रीभृहुमदजनधनदरिद्राजागरां प्रत्ययात् पूर्वम् पिति,भीह्रीभृहुमदजनधनदरिद्राजागराम्प्रत्ययात्पूर्वम्पिति
आदिर्णमुल्यन्यतरस्याम्,आदिःणमुलिअन्यतरस्याम्
थलि च सेटीडन्तो वा,थलिचसेटिइट्अन्तःवा
ञ्णित्यादिर्नित्यम्,ञ्णितिआदिःनित्यम्
अन्तश्च तवै युगपत्‌,अन्तःचतवैयुगपत्
क्षयो निवासे,क्षयःनिवासे
वृषादीनां च,वृषादीनाम्च
संज्ञायामुपमानम्‌,संज्ञायाम्उपमानम्
नित्यं मन्त्रे,नित्यम्मन्त्रे
युष्मदस्मदोर्ङसि,युष्मदस्मदोःङसि
यतोऽनावः,यतःअनावः
ईडवन्दवृशंसदुहां ण्यतः,ईडवन्दवृशंसदुहाम्ण्यतः
उपोत्तमं रिति,उपोत्तमम्रिति
चङ्यन्यतरस्याम्,चङिअन्यतरस्याम्
मतोः पूर्वमात्‌ संज्ञायां स्त्रियाम्‌,मतोःपूर्वम्आत्संज्ञायाम्स्त्रियाम्
अन्तोऽवत्याः,अन्तःअवत्याः
वर्णः वर्णेष्वनेते,वर्णःवर्णेषुअनेते
दायाद्यं दायादे,दायाद्यम्दायादे
पदेऽपदेशे,पदेअपदेशे
अध्वर्युकषाययोर्जातौ,अध्वर्युकषाययोःजातौ
गन्तव्यपण्यं वाणिजे,गन्तव्यपण्यम्वाणिजे
सुखप्रिययोर्हिते,सुखप्रिययोःहिते
स्वं स्वामिनि,स्वम्स्वामिनि
पत्यावैश्वर्ये,पत्यौऐश्वर्ये
कुमारश्च,कुमारःच
पूगेष्वन्यतरस्याम्,पूगेषुअन्यतरस्याम्
बह्वन्यतरस्याम्,बहुअन्यतरस्याम्
दिष्टिवितस्त्योश्च,दिष्टिवितस्त्योःच
सप्तमी सिद्धशुष्कपक्वबन्धेष्वकालात्‌,सप्तमीसिद्धशुष्कपक्वबन्धेषुअकालात्
राजन्यबहुवचनद्वंद्वेऽन्धकवृष्णिषु,राजन्यबहुवचनद्वन्द्वेअन्धकवृष्णिषु
आचार्योपसर्जनश्चान्तेवासी,आचार्योपसर्जनःचअन्तेवासी
कार्तकौजपादयश्च,कार्त्तकौजपादयःच
क्षुल्लकश्च वैश्वदेवे,क्षुल्लकःचवैश्वदेवे
कुरुगार्हपतरिक्तगुर्वसूतजरत्यश्लीलदृढरूपापारेवडवातैतिलकद्रूःपण्यकम्बलो दासीभाराणां च,कुरुगार्हपतरिक्तगुरुअसूतजरतियश्लीलदृढरूपापारेवडवातैतिलकद्रूःपण्यकम्बलःदासीभाराणाम्च
कर्मधारयेऽनिष्ठा,कर्मधारयेअनिष्ठा
गतिरनन्तरः,गतिःअनन्तरः
तादौ च निति कृत्यतौ,तादौचनितिकृतिअतौ
तवै चान्तश्च युगपत्‌,तवैचअन्तःचयुगपत्
अनिगन्तोऽञ्चतौ वप्रत्यये,अनिगन्तःअञ्चतौवप्रत्यये
ईषदन्यतरस्याम्,ईषत्अन्यतरस्याम्
हिरण्यपरिमाणं धने,हिरण्यपरिमाणम्धने
प्रथमोऽचिरोपसम्पत्तौ,प्रथमःअचिरोपसम्पत्तौ
आर्यो ब्राह्मणकुमारयोः,आर्यःब्राह्मणकुमारयोः
आदिरुदात्तः,आदिःउदात्तः
सप्तमीहारिणौ धर्म्येऽहरणे,सप्तमीहारिणौधर्म्येअहरणे
विभाषाऽध्यक्षे,विभाषाअध्यक्षे
पापं च शिल्पिनि,पापम्चशिल्पिनि
भक्ताख्यास्तदर्थेषु,भक्ताख्याःतदर्थेषु
गोबिडालसिंहसैन्धवेषूपमाने,गोबिडालसिंहसैन्धवेषुउपमाने
प्राचां क्रीडायाम्,प्राचाम्क्रीडायाम्
शिल्पिनि चाकृञः,शिल्पिनिचअकृञः
संज्ञायां च,संज्ञायाम्च
गोतन्तियवं पाले,गोतन्तियवम्पाले
उपमानं शब्दार्थप्रकृतावेव,उपमानम्शब्दार्थप्रकृतौएव
युक्तारोह्यादयश्च,युक्तारोह्यादयःच
दीर्घकाशतुषभ्राष्ट्रवटं जे,दीर्घकाशतुषभ्राष्ट्रवटम्जे
अन्त्यात्‌ पूर्वं बह्वचः,अन्त्यात्पूर्वम्बह्वचः
ग्रामेऽनिवसन्तः,ग्रामेअनिवसन्तः
घोषादिषु,घोषादिषुशालायाम्
प्रस्थेऽवृद्धमकर्क्यादीनाम्‌,प्रस्थेअवृद्धम्अकर्क्यादीनाम्
मालाऽऽदीनां च,मालाऽऽदीनाम्च
अमहन्नवं नगरेऽनुदीचाम्,अमहन्नवम्नगरेअनुदीचाम्
अर्मे चावर्णं द्व्यच्त्र्यच्,अर्मेचअवर्णम्द्व्यच्त्र्यच्
सर्वं गुणकार्त्स्न्ये,सर्वम्गुणकार्त्स्न्ये
संज्ञायां गिरिनिकाययोः,संज्ञायाम्गिरिनिकाययोः
कुमार्यां वयसि,कुमार्याम्वयसि
उदकेऽकेवले,उदकेअकेवले
सभायां नपुंसके,सभायाम्नपुंसके
कुसूलकूपकुम्भशालं बिले,कुसूलकूपकुम्भशालम्बिले
दिक्‌शब्दा ग्रामजनपदाख्यानचानराटेषु,दिक्‌शब्दाःग्रामजनपदाख्यानचानराटेषु
आचार्योपसर्जनश्चान्तेवासिनि,आचार्योपसर्जनःस्थानेसुर्भवतीति
उत्तरपदवृद्धौ सर्वं च,उत्तरपदवृद्धौसर्वम्च
बहुव्रीहौ विश्वं संज्ञयाम्,बहुव्रीहौविश्वम्संज्ञयाम्
निष्ठोपसर्गपूर्वमन्यतरस्याम्‌,निष्ठाउपसर्गपूर्वम्अन्यतरस्याम्
कर्णो वर्णलक्षणात्‌,कर्णःवर्णलक्षणात्
संज्ञौपम्ययोश्च,संज्ञौपम्ययोःच
कण्ठपृष्ठग्रीवाजंघं च,कण्ठपृष्ठग्रीवाजंघम्च
शृङ्गमवस्थायां च,शृङ्गम्अवस्थायाम्च
नञो जरमरमित्रमृताः,नञःजरमरमित्रमृताः
सोर्मनसी अलोमोषसी,सोःमनसीअलोमोषसी
क्रत्वादयश्च,क्रत्वादयःच
आद्युदात्तं द्व्यच् छन्दसि,आद्युदात्तम्द्व्यच्छन्दसि
कूलतीरतूलमूलशालाऽक्षसममव्ययीभावे,कूलतीरतूलमूलशालाऽक्षसमम्अव्ययीभावे
कंसमन्थशूर्पपाय्यकाण्डं द्विगौ,कंसमन्थशूर्पपाय्यकाण्डम्द्विगौ
तत्पुरुषे शालायां नपुंसके,तत्पुरुषेशालायाम्नपुंसके
आदिश्चिहणादीनाम्,आदिःचिहणादीनाम्
चेलखेटकटुककाण्डं गर्हायाम्,चेलखेटकटुककाण्डम्गर्हायाम्
चीरमुपमानम्‌,चीरम्उपमानम्
पललसूपशाकं मिश्रे,पललसूपशाकम्मिश्रे
वर्ग्यादयश्च,वर्ग्यादयःच
पुत्रः पुंभ्यः,पुत्रःपुम्भ्यः
नाचार्यराजर्त्विक्संयुक्तज्ञात्याख्येभ्यः,नआचार्यराजर्त्विक्संयुक्तज्ञात्याख्येभ्यः
चूर्णादीन्यप्राणिषष्ठ्याः,चूर्णादीनिअप्राणिषष्ठ्याः
कुण्डं वनम्,कुण्डम्वनम्
शितेर्नित्याबह्वज्बहुव्रीहावभसत्‌,शितेःनित्याबह्वव्च्बहुव्रीहौअभसत्
गतिकारकोपपदात्‌ कृत्‌,गतिकारकोपपदात्कृत्
उभे वनस्पत्यादिषु युगपत्‌,उभेवनस्पत्यादिषुयुगपत्
देवताद्वंद्वे च,देवताद्वन्द्वेच
नोत्तरपदेऽनुदात्तादावपृथिवीरुद्रपूषमन्थिषु,नउत्तरपदेअनुदात्तादौअपृथिवीरुद्रपूषमन्थिषु
सूपमानात्‌ क्तः,सूपमानात्क्तः
संज्ञायामनाचितादीनाम्‌,संज्ञायाम्अनाचितादीनाम्
प्रवृद्धादीनां च,प्रवृद्धादीनाम्च
कारकाद्दत्तश्रुतयोरेवाशिषि,कारकात्दत्तश्रुतयोःएवआशिषि
इत्थम्भूतेन कृतमिति च,इत्थम्भूतेनकृतम्इतिच
अनो भावकर्मवचनः,अनःभावकर्मवचनः
ऊनार्थकलहं तृतीयायाः,ऊनार्थकलहम्तृतीयायाः
मिश्रं चानुपसर्गमसंधौ,मिश्रम्चअनुपसर्गम्असन्धौ
नञो गुणप्रतिषेधे सम्पाद्यर्हहितालमर्थास्तद्धिताः,नञःगुणप्रतिषेधेसम्पाद्यर्हहितालमर्थाःतद्धिताः
ययतोश्चातदर्थे,ययतोःचअतदर्थे
अच्कावशक्तौ,अच्कौअशक्तौ
कृत्योकेष्णुच्चार्वादयश्च,कृत्योकेष्णुच्चार्वादयःच
बहुव्रीहाविदमेतत्तद्भ्यः प्रथमपूरणयोः क्रियागणने,बहुव्रीहौइदमेतत्तद्‍भ्यःप्रथमपूरणयोःक्रियागणने
संज्ञायां मित्राजिनयोः,संज्ञायाम्मित्राजिनयोः
व्यवायिनोऽन्तरम्,व्यवायिनःअन्तरम्
मुखं स्वाङ्गम्,मुखम्स्वाङ्गम्
नाव्ययदिक्‌शब्दगोमहत्स्थूलमुष्टिपृथुवत्सेभ्यः,नअव्ययदिक्‌शब्दगोमहत्स्थूलमुष्टिपृथुवत्सेभ्यः
निष्ठोपमानादन्यतरस्याम्,निष्ठोपमानात्अन्यतरस्याम्
जातिकालसुखादिभ्योऽनाच्छादनात्‌ क्तोऽकृतमितप्रतिपन्नाः,जातिकालसुखादिभ्यःअनाच्छादनात्क्तःअकृतमितप्रतिपन्नाः
ह्रस्वान्तेऽन्त्यात्‌ पूर्वम्,ह्रस्वान्तेअन्त्यात्पूर्वम्
बहोर्नञ्वदुत्तरपदभूम्नि,बहोःनञ्वत्उत्तरपदभूम्नि
न गुणादयोऽवयवाः,नगुणादयःअवयवाः
उपसर्गात्‌ स्वाङ्गं ध्रुवमपर्शु,उपसर्गात्स्वाङ्गम्ध्रुवम्अपर्शु
वनं समासे,वनम्समासे
अन्तश्च,अन्तःच
परेरभितोभाविमण्डलम्,परेःअभितोभाविमण्डलम्
प्रादस्वाङ्गं संज्ञायाम्,प्रात्अस्वाङ्गम्संज्ञायाम्
अभेर्मुखम्,अभेःमुखम्
अपाच्च,अपात्च
स्फिगपूतवीणाऽञ्जोऽध्वकुक्षिसीरनामनाम च,स्फिगपूतवीणाऽञ्जोध्वकुक्षिसीरनामनामच
अधेरुपरिस्थम्,अधेःउपरिस्थम्
अनोरप्रधानकनीयसी,अनोःअप्रधानकनीयसी
पुरुषश्चान्वादिष्टः,पुरुषःचअन्वादिष्टः
अतेरकृत्पदे,अतेःअकृत्पदे
नेरनिधाने,नेःअनिधाने
प्रतेरंश्वादयस्तत्पुरुषे,प्रतेःअंश्वादयःतत्पुरुषे
उपाद् द्व्यजजिनमगौरादयः,उपात्द्‍व्यजजिनम्अगौरादयः
सोरवक्षेपणे,सोःअवक्षेपणे
विभाषोत्पुच्छे,विभाषाउत्पुच्छे
द्वित्रिभ्यां पाद्दन्मूर्धसु बहुव्रीहौ,द्वित्रिभ्याम्पाद्दन्मूर्धसुबहुव्रीहौ
सक्थं चाक्रान्तात्‌,सक्थम्चअक्रान्तात्
परादिश्छन्दसि बहुलम्,परादिःछन्दसिबहुलम्
अलुगुत्तरपदे,अलुक्उत्तरपदे
ओजःसहोऽम्भस्तमसः तृतीयायाः,ओजःसहोम्भस्तमसःतृतीयायाः
आत्मनश्च पूरणे,आत्मनःचपूरणे
वैयाकरणाख्यायां चतुर्थ्याः,वैयाकरणाख्यायाम्चतुर्थ्याः
हलदन्तात्‌ सप्तम्याः संज्ञायाम्,हलदन्तात्सप्तम्याःसंज्ञायाम्
कारनाम्नि च प्राचां हलादौ,कारनाम्निचप्राचाम्हलादौ
मध्याद्गुरौ,मध्यात्गुरौ
अमूर्धमस्तकात्‌ स्वाङ्गादकामे,अमूर्धमस्तकात्स्वाङ्गात्अकामे
प्रावृट्शरत्कालदिवां जे,प्रावृट्शरत्कालदिवाम्जे
विभाषा वर्षक्षरशरवरात्‌,विभाषावर्षक्षरशरवरात्
शयवासवासिषु अकालात्‌,शयवासवासिषुअकालात्
नेन्सिद्धबध्नातिषु,नइन्सिद्धबध्नातिषु
पुत्रेऽन्यतरस्याम्,पुत्रेअन्यतरस्याम्
ऋतो विद्यायोनिसम्बन्धेभ्यः,ऋतःविद्यायोनिसम्बन्धेभ्यः
आनङ् ऋतो द्वंद्वे,आनङ्ऋतःद्वन्द्वे
देवताद्वंद्वे च,देवताद्वन्द्वेच
ईदग्नेः सोमवरुणयोः,ईत्अग्नेःसोमवरुणयोः
इद्वृद्धौ,इत्वृद्धौ
दिवो द्यावा,दिवःद्यावा
दिवसश्च पृथिव्याम्,दिवसःचपृथिव्याम्
उषासोषसः,उषासाउषसः
मातरपितरावुदीचाम्,मातरपितरौउदीचाम्
पितरामातरा च च्छन्दसि,पितरामातराचछन्दसि
स्त्रियाः पुंवद्भाषितपुंस्कादनूङ् समानाधिकरणे स्त्रियामपूरणीप्रियाऽऽदिषु,स्त्रियाःपुंवत्भाषितपुंस्कादनूङ्समानाधिकरणेस्त्रियाम्अपूरणीप्रियाऽऽदिषु
क्यङ्मानिनोश्च,क्यङ्मानिनोःच
संज्ञापूरण्योश्च,संज्ञापूरण्योःच
वृद्धिनिमित्तस्य च तद्धितस्यारक्तविकारे,वृद्धिनिमित्तस्यचतद्धितस्यअरक्तविकारे
स्वाङ्गाच्चेतोऽमानिनि,स्वाङ्गात्चईतःअमानिनि
जातेश्च,जातेःच
पुंवत्‌ कर्मधारयजातीयदेशीयेषु,पुंवत्कर्मधारयजातीयदेशीयेषु
घरूपकल्पचेलड्ब्रुवगोत्रमतहतेषु ङ्योऽनेकाचो ह्रस्वः,घरूपकल्पचेलड्ब्रुवगोत्रमतहतेषुङ्यःअनेकाचःह्रस्वः
नद्याः शेषस्यान्यतरस्याम्,नद्याःशेषस्यअन्यतरस्याम्
उगितश्च,उगितःच
आन्महतः समानाधिकरणजातीययोः,आत्महतःसमानाधिकरणजातीययोः
द्व्यष्टनः संख्यायामबहुव्रीह्यशीत्योः,द्‍व्यष्टनःसंख्यायाम्अबहुव्रीह्यशीत्योः
त्रेस्त्रयः,त्रेःत्रयः
हृदयस्य हृल्लेखयदण्लासेषु,हृदयस्यहृत्लेखयदण्लासेषु
पादस्य पदाज्यातिगोपहतेषु,पादस्यपदआज्यातिगोपहतेषु
पद् यत्यतदर्थे,पद्यतिअतदर्थे
उदकस्योदः संज्ञायाम्,उदकस्यउदःसंज्ञायाम्
एकहलादौ पूरयितव्येऽन्यतरस्याम्,एकहलादौपूरयितव्येअन्यतरस्याम्
इको ह्रस्वोऽङ्यो गालवस्य,इकःह्रस्वःअङ्यःगालवस्य
ङ्यापोः संज्ञाछन्दसोर्बहुलम्,ङ्यापोःसंज्ञाछन्दसोःबहुलम्
इष्टकेषीकामालानां चिततूलभारिषु,इष्टकेषीकामालानाम्चिततूलभारिषु
खित्यनव्ययस्य,खितिअनव्ययस्य
इच एकाचोऽम्प्रत्ययवच्च,इचःएकाचःअम्प्रत्ययवत्च
नलोपो नञः,नलोपःनञः
तस्मान्नुडचि,तस्मात्नुट्अचि
एकादिश्चैकस्य चादुक्,एकादिःचएकस्यचआदुक्
नगोऽप्राणिष्वन्यतरस्याम्,नगःअप्राणिषुअन्यतरस्याम्
द्वितीये चानुपाख्ये,द्वितीयेचअनुपाख्ये
अव्ययीभावे चाकाले,अव्ययीभावेचअकाले
वोपसर्जनस्य,वाउपसर्जनस्य
प्रकृत्याऽऽशिष्यगोवत्सहलेषु,प्रकृत्याआशिषिअगोवत्सहलेषु
समानस्य छन्दस्यमूर्धप्रभृत्युदर्केषु,समानस्यछन्दसिअमूर्धप्रभृत्युदर्केषु
विभाषोदरे,विभाषाउदरे
इदङ्किमोरीश्की,इदङ्किमोःईश्की
विष्वग्देवयोश्च टेरद्र्यञ्चतौ वप्रत्यये,विष्वग्देवयोःचटेःअद्रिअञ्चतौवप्रत्यये
तिरसस्तिर्यलोपे,तिरसःतिरिअलोपे
सध मादस्थयोश्छन्दसि,सधमादस्थयोःछन्दसि
द्व्यन्तरुपसर्गेभ्योऽप ईत्‌,द्‍व्यन्तरुपसर्गेभ्यःअपःईत्
ऊदनोर्देशे,ऊत्अनोःदेशे
अषष्ठ्यतृतीयास्थस्यान्यस्य दुगाशिराशाऽऽस्थाऽऽस्थितोत्सुकोतिकारकरागच्छेषु,अषष्ठ्यतृतीयास्थस्यअन्यस्यदुक्आशीराशाऽऽस्थाऽऽस्थितोत्सुकोतिकारकरागच्छेषु
कोः कत्‌ तत्पुरुषेऽचि,कोःकत्तत्पुरुषेअचि
रथवदयोश्च,रथवदयोःच
कवं चोष्णे,कवम्चउष्णे
पथि च च्छन्दसि,पथिचछन्दसि
संख्याविसायपूर्वस्याह्नस्याहन्नन्यतरस्यां ङौ,संख्याविसायपूर्वस्यअह्नस्यअहन्अन्यतरस्याम्ङौ
ढ्रलोपे पूर्वस्य दीर्घोऽणः,ढ्रलोपेपूर्वस्यदीर्घःअणः
सहिवहोरोदवर्णस्य,सहिवहोःओत्अवर्णस्य
साढ्यै साढ्वा साढेति निगमे,साढ्यैसाढ्वासाढाइतिनिगमे
कर्णे लक्षणस्याविष्टाष्टपञ्चमणिभिन्नछिन्नछिद्रस्रुवस्वस्तिकस्य,कर्णेलक्षणस्यअविष्टाष्टपञ्चमणिभिन्नछिन्नछिद्रस्रुवस्वस्तिकस्य
वनगिर्योः संज्ञायां कोटरकिंशुलकादीनाम्,वनगिर्योःसंज्ञायाम्कोटरकिंशुलकादीनाम्
मतौ बह्वचोऽनजिरादीनाम्,मतौबह्वचःअनजिरादीनाम्
शरादीनां च,शरादीनाम्च
उपसर्गस्य घञ्यमनुष्ये बहुलम्,उपसर्गस्यघञिअमनुष्येबहुलम्
दस्ति,दःति
मित्रे चर्षौ,मित्रेचऋषौ
ओषधेश्च विभक्तावप्रथमायाम्,ओषधेःचविभक्तौअप्रथमायाम्
द्व्यचोऽतस्तिङः,द्‍व्यचःअतःतिङः
अन्येषामपि दृश्यते,अन्येषाम्अपिदृश्यते
छन्दस्युभयथा,छन्दसिउभयथा
नोपधायाः,नउपधायाः
सर्वनामस्थाने चासम्बुद्धौ,सर्वनामस्थानेचअसम्बुद्धौ
इन्हन्पूषार्यम्णां शौ,इन्हन्पूषार्यम्णाम्शौ
अत्वसन्तस्य चाधातोः,अत्वसन्तस्यचअधातोः
अज्झनगमां सनि,अज्झनगमाम्सनि
तनोतेर्विभाषा,तनोतेःविभाषा
क्रमश्च क्त्वि,क्रमःचक्त्वि
च्छ्वोः शूडनुनासिके च,च्छ्वोःशूठ्अनुनासिकेच
ज्वरत्वरश्रिव्यविमवामुपधायाश्च,ज्वरत्वरस्रिव्यविमवाम्उपधायाःच
राल्लोपः,रात्लोपः
असिद्धवदत्राभात्‌,असिद्धवत्अत्रआभात्
श्नान्नलोपः,श्नात्नलोपः
अनिदितां हल उपधायाः क्ङिति,अनिदिताम्हलःउपधायाःक्ङिति
दन्शसञ्जस्वञ्जां शपि,दन्शसञ्जस्वञ्जाम्शपि
रञ्जेश्च,रञ्जेःच
स्यदो जवे,स्यदःजवे
नाञ्चेः पूजायाम्,नअञ्चेःपूजायाम्
जान्तनशां विभाषा,जान्तनशाम्विभाषा
भञ्जेश्च चिणि,भञ्जेःचचिणि
शास इदङ्हलोः,शासःइत्अङ्‍हलोः
हन्तेर्जः,हन्तेःजः
अनुदात्तोपदेशवनतितनोत्यादीनामनुनासिकलोपो झलि क्ङिति,अनुदात्तोपदेशवनतितनोत्यादीनाम्अनुनासिकलोपःझलिक्ङिति
न क्तिचि दीर्घश्च,नक्तिचिदीर्घःच
विड्वनोरनुनासिकस्यात्‌,विड्‍वनोःअनुनासिकस्यआत्
जनसनखनां सञ्झलोः,जनसनखनाम्सञ्झलोः
तनोतेर्यकि,तनोतेःयकि
सनः क्तिचि लोपश्चास्यान्यतरस्याम्,सनःक्तिचिलोपःचअस्यअन्यतरस्याम्
भ्रस्जो रोपधयोः रमन्यतरस्याम्‌,भ्रस्जःरोपधयोःरम्अन्यतरस्याम्
अतो लोपः,अतःलोपः
णेरनिटि,णेःअनिटि
निष्ठायां सेटि,निष्ठायाम्सेटि
अयामन्ताल्वाय्येत्न्विष्णुषु,अय्आमन्ताल्वाय्येत्न्विष्णुषु
ल्यपि लघुपूर्वात्‌,ल्यपिलघुपूर्वात्
विभाषाऽऽपः,विभाषाआपः
युप्लुवोर्दीर्घश्छन्दसि,युप्लुवोःदीर्घःछन्दसि
निष्ठायां अण्यदर्थे,निष्ठायाम्अण्यदर्थे
वाऽऽक्रोशदैन्ययोः,वाआक्रोशदैन्ययोः
स्यसिच्सीयुट्तासिषु भावकर्मणोरुपदेशेऽज्झनग्रहदृशां वा चिण्वदिट् च,स्यसिच्सीयुट्‍तासिषुभावकर्म्मणोःउपदेशेअज्झनग्रहदृशाम्वाचिण्वत्इट्च
दीङो युडचि क्ङिति,दीङःयुट्अचिक्ङिति
आतो लोप इटि च,आतःलोपइटिच
ईद्यति,ईत्यति
घुमास्थागापाजहातिसां हलि,घुमास्थागापाजहातिसाम्हलि
एर्लिङि,एःलिङि
वाऽन्यस्य संयोगादेः,वाअन्यस्यसंयोगादेः
मयतेरिदन्यतरस्याम्,मयतेःइत्अन्यतरस्याम्
लुङ्लङ्लृङ्क्ष्वडुदात्तः,लुङ्लङ्लृङ्क्ष्व्अट्उदात्तः
आडजादीनाम्,आट्अजादीनाम्
छन्दस्यपि दृश्यते,छन्दसिअपिदृश्यते
बहुलं छन्दस्यमाङ्योगेऽपि,बहुलम्छन्दसिअमाङ्योगेअपि
इरयो रे,इरयोःरे
अचि श्नुधातुभ्रुवां य्वोरियङुवङौ,अचिश्नुधातुभ्रुवाम्य्वोःइयङुवङौ
अभ्यासस्यासवर्णे,अभ्यासस्यआसवर्णे
वाऽम्शसोः,वाअम्शसोः
इणो यण्,इणःयण्
एरनेकाचोऽसंयोगपूर्वस्य,एःअनेकाचःअसंयोगपूर्वस्य
वर्षाभ्वश्च,वर्षाभ्वःच
छन्दस्युभयथा,छन्दसिउभयथा
भुवो वुग्लुङ्लिटोः,भुवःवुक्लुङ्लिटोः
ऊदुपधाया गोहः,ऊत्उपधायाःगोहः
दोषो णौ,दोषःणौ
मितां ह्रस्वः,मिताम्ह्रस्वः
चिण्णमुलोर्दीर्घोऽन्यतरस्याम्,चिण्णमुलोःदीर्घःअन्यतरस्याम्
ह्लादो निष्ठायाम्,ह्लादःनिष्ठायाम्
छादेर्घेऽद्व्युपसर्गस्य,छादेःघेअद्‍व्युपसर्गस्य
गमहनजनखनघसां लोपः क्ङित्यनङि,गमहनजनखनघसाम्लोपःक्ङितिअनङि
तनिपत्योश्छन्दसि,तनिपत्योःछन्दसि
घसिभसोर्हलि च,घसिभसोःहलिच
हुझल्भ्यो हेर्धिः,हुझल्भ्यःहेःधिः
श्रुशृणुपॄकृवृभ्यश्छन्दसि,श्रुशृणुपॄकृवृभ्यःछन्दसि
अङितश्च,अङितःच
चिणो लुक्,चिणःलुक्
अतो हेः,अतःहेः
उतश्च प्रत्ययादसंयोगपूर्वात्‌,उतःचप्रत्ययात्असंयोगपूर्वात्
लोपश्चास्यान्यतरस्यां म्वोः,लोपःचअस्यअन्यतरस्याम्म्वोः
नित्यं करोतेः,नित्यम्करोतेः
अत उत्‌ सार्वधातुके,अतःउत्सार्वधातुके
श्नसोरल्लोपः,श्नसोःअल्लोपः
श्नाऽभ्यस्तयोरातः,श्नाऽभ्यस्तयोःआतः
ई हल्यघोः,ईहलिअघोः
इद्दरिद्रस्य,इत्दरिद्रस्य
भियोऽन्यतरस्याम्,भियःअन्यतरस्याम्
जहातेश्च,जहातेःच
लोपो यि,लोपःयि
घ्वसोरेद्धावभ्यासलोपश्च,घ्वसोःएत्हौअभ्यासलोपःच
अत एकहल्मध्येऽनादेशादेर्लिटि,अतःएकहल्मध्येअनादेशादेःलिटि
तॄफलभजत्रपश्च,तॄफलभजत्रपःच
राधो हिंसायाम्,राधःहिंसायाम्
फणां च सप्तानाम्,फणाम्चसप्तानाम्
अर्वणस्त्रसावनञः,अर्वणःतृअसौअवनञः
वाह ऊठ्,वाहःऊठ्
श्वयुवमघोनामतद्धिते,श्वयुवमघोनाम्अतद्धिते
अल्लोपोऽनः,अल्लोपःअनः
षपूर्वहन्धृतराज्ञामणि,षपूर्वहन्धृतराज्ञाम्अणि
न संयोगाद्वमन्तात्‌,नसंयोगात्वमान्तात्
उद ईत्‌,उदःईत्
आतो धातोः,आतःधातोः
मन्त्रेष्वाङ्यादेरात्मनः,मन्त्रेषुआङिआदेःआत्मनः
ति विंशतेर्डिति,तिविंशतेःडिति
नस्तद्धिते,नःतद्धिते
अह्नष्टखोरेव,अह्नःटखोःएव
ओर्गुणः,ओःगुणः
ढे लोपोऽकद्र्वाः,ढेलोपःअकद्र्‍वाः
यस्येति च,यस्यईतिच
सूर्यतिष्यागस्त्यमत्स्यानां य उपधायाः,सूर्यतिष्यागस्त्यमत्स्यानाम्यःउपधायाः
हलस्तद्धितस्य,हलःतद्धितस्य
आपत्यस्य च तद्धितेऽनाति,आपत्यस्यचतद्धितेअनाति
क्यच्व्योश्च,क्यच्व्योःच
बिल्वकादिभ्यश्छस्य लुक्,बिल्वकादिभ्यःछस्यलुक्
तुरिष्ठेमेयस्सु,तुःइष्ठेमेयस्सु
स्थूलदूरयुवह्रस्वक्षिप्रक्षुद्राणां यणादिपरं पूर्वस्य च गुणः,स्थूलदूरयुवह्रस्वक्षिप्रक्षुद्राणाम्यणादिपरम्पूर्वस्यचगुणः
प्रियस्थिरस्फिरोरुबहुलगुरुवृद्धतृप्रदीर्घवृन्दारकाणां प्रस्थस्फवर्बंहिगर्वर्षित्रब्द्राघिवृन्दाः,प्रियस्थिरस्फिरोरुबहुलगुरुवृद्धतृप्रदीर्घवृन्दारकाणाम्प्रस्थस्फवर्बंहिगर्वर्षित्रब्द्राघिवृन्दाः
बहोर्लोपो भू च बहोः,बहोःलोपःभूचबहोः
ज्यादादीयसः,ज्यात्आत्ईयसः
र ऋतो हलादेर्लघोः,रःऋतःहलादेःलघोः
विभाषर्जोश्छन्दसि,विभाषाऋजोःछन्दसि
