11001:3288:16,वृद्धिरादैच्,वृद्धिः+आदैच्,11001:वृद्धिरादैच्:1
74092:852:2653,ऋतश्च,ऋतः+च,74092:ऋतश्च:1
74094:1887:2318,दीर्घो लघोः,दीर्घः+लघोः,74094:दीर्घः लघोः:0
81005:2326:2141,परेर्वर्जने,परेः+वर्जने,81005:परेर्वर्जने:1
81022:1793:406,तेमयावेकवचनस्य,तेमयौ+एकवचनस्य,81022:तेमयावेकवचनस्य, तेमया एकवचनस्य:1
81028:1727:3935,तिङ्ङतिङः,तिङ्+अतिङः,81028:तिङतिङः:0
81032:3579:3939,सत्यं प्रश्ने,सत्यम्+प्रश्ने,81032:( सत्यंप्रश्ने-> )सत्यम्प्रश्ने:0
81047:1509:3954,जात्वपूर्वम्,जातु+अपूर्वम्,81047:जात्वपूर्वम्, जातु अपूर्वम्:1
81070:1262:3977,गतिर्गतौ,गतिः+गतौ,81070:गतिष्गतौ:0
82001:2418:12,पूर्वत्रासिद्धम्,पूर्वत्र+असिद्धम्,82001:पूर्वत्रासिद्धम्:1
82015:1457:3600,छन्दसीरः,छन्दसि+इरः,82015:छन्दसीरः:1
82016:227:3601,अनो नुट्,अनः+नुट्,82016:अनः नुट्:0
82017:2148:3602,नाद्घस्य,नात्+घस्य,82017:नात्घस्य:0
82020:1352:2639,ग्रो यङि,ग्रः+यङि,82020:ग्रः यङि:0
82024:2926:280,रात्‌ सस्य,रात्+सस्य,82024:रात्सस्य:0
82026:1546:2281,झलो झलि,झलः+झलि,82026:झलः झलि:0
82028:617:2266,इट ईटि,इटः+ईटि,82028:इटयीटि, इट ईटि:1
82031:3963:324,हो ढः,हः+ढः,82031:हः ढः:0
82034:2138:440,नहो धः,नहः+धः,82034:नहः धः:0
82035:589:2451,आहस्थः,आहः+थः,82035:आहस्थः:1
82045:937:3019,ओदितश्च,ओदितः+च,82045:ओदितश्च:1
82046:1231:3015,क्षियो दीर्घात्‌,क्षियः+दीर्घात्,82046:क्षियः दीर्घात्:0
82047:3446:3021,श्योऽस्पर्शे,श्यः+अस्पर्शे,82047:श्योऽस्पर्शे:1
82048:76:3024,अञ्चोऽनपादाने,अञ्चः+अनपादाने,82048:अञ्चोऽनपादाने:1
82050:2198:3029,निर्वाणोऽवाते,निर्वाणः+अवाते,82050:निर्वाणोऽवाते:1
82052:2257:3031,पचो वः,पचः+वः,82052:पचः वः:0
82053:1227:3032,क्षायो मः,क्षायः+मः,82053:क्षायः मः:0
82059:2670:3042,भित्तं शकलम्,भित्तम्+शकलम्,82059:भित्तंशकलम्:0
82063:2129:431,नशेर्वा,नशेः+वा,82063:नशेर्वा:1
82065:2804:2309,म्वोश्च,म्वोः+च,82065:म्वोश्च:1
82066:3694:162,ससजुषो रुः,ससजुषोः+रुः,82066:ससजुषो रुः:1
82069:2955:172,रोऽसुपि,रः+असुपि,82069:रोऽसुपि:1
82073:1733:2484,तिप्यनस्तेः,तिपि+अनस्तेः,82073:तिप्यनस्तेः, तिपि अनस्तेः:1
82075:1839:2486,दश्च,दः+च,82075:दश्च:1
82078:761:2265,उपधायां च,उपधायाम्+च,82078:( उपधायांच-> )उपधायाञ्च:0
82089:2458:3608,प्रणवष्टेः,प्रणवः+टेः,82089:प्रणवष्टेः:1
83008:810:3630,उभयथर्क्षु,उभयथा+ऋक्षु,83008:उभयथर्क्षु, उभयथ ऋक्षु:1
83014:2954:173,रो रि,रः+रि,83014:रः रि:0
83030:2130:132,नश्च,नः+च,83030:नश्च:1
83038:3789:152,सोऽपदादौ,सः+अपदादौ,83038:सोऽपदादौ:1
83054:621:3639,इडाया वा,इडायाः+वा,83054:इडायाः वा:0
83074:2327:2399,परेश्च,परेः+च,83074:परेश्च:1
83079:3250:2325,विभाषेटः,विभाषा+इटः,83079:विभाषेटः:1
83091:979:3084,कपिष्ठलो गोत्रे,कपिष्ठलः+गोत्रे,83091:कपिष्ठलः गोत्रे:0
83104:2817:3641,यजुष्येकेषाम्,यजुषि+एकेषाम्,83104:यजुष्येकेषाम्, यजुषि एकेषाम्:1
83108:3596:3645,सनोतेरनः,सनोतेः+अनः,83108:सनोतेरनः:1
83112:3732:2640,सिचो यङि,सिचः+यङि,83112:सिचः यङि:0
83113:3784:2278,सेधतेर्गतौ,सेधतेः+गतौ,83113:सेधतेर्गतौ:1
84007:455:791,अह्नोऽदन्तात्‌,अह्नः+अदन्तात्,84007:अह्नोऽदन्तात्:0
84008:3149:1052,वाहनमाहितात्‌,वाहनम्+आहितात्,84008:वाहनमाहितात्:0
84009:2361:1053,पानं देशे,पानम्+देशे,84009:( पानंदेशे-> )पानन्देशे:0
84023:3060:2429,वमोर्वा,वमोः+वा,84023:वमोर्वा:1
84024:241:3294,अन्तरदेशे,अन्तः+अदेशे,84024:अन्तोऽदेशे:0
84025:340:3295,अयनं च,अयनम्+च,84025:( अयनंच-> )अयनञ्च:0
84029:1143:2835,कृत्यचः,कृति+अचः,84029:कृत्यचः, कृति अचः:1
84030:1586:2836,णेर्विभाषा,णेः+विभाषा,84030:णेर्विभाषा:1
84049:3371:340,शरोऽचि,शरः+अचि,84049:शरोऽचि:1
84056:3132:206,वाऽवसाने,वा+अवसाने,84056:वावसाने:0
84060:1795:117,तोर्लि,तोः+लि,84060:तोर्लि:1
